channel_name,number_of_subscribers,number_of_videos,language_of_videos,date_channel_was_created,number_of_views,genre,p.o.b._of_creator,individual_or_group?,"if_individual,__m_or_f?"
PewDiePie,57000000,"3,288",en,2010-04-29,16165004931,Games,SWE,1,M
HolaSoyGerman,32000000,137,es,2011-09-08,3235905727,Entertainment,CHL,1,M
JustinBieverVEVO,31000000,123,en,2009-09-25,16153035218,Music,CAN,2,N/A
elrubiusOMG,25000000,729,es,2011-12-19,5801953851,Games,ESP,1,M
YouTube Spotlight,25000000,261,en,,1139875599,News,USA,2,N/A
RihannaVEVO,25000000,106,en,2009-05-11,11797661048,Music,BRB,2,N/A
KatyPerryVEVO,24000000,123,en,2009-12-12,14004808787,Music,USA,2,N/A
TaylorSwiftVEVO,24000000,79,en,2009-05-11,12818576270,Music,USA,2,N/A
T-Series,24000000,"11,364",hi,2006-03-13,23544128370,Music,IND,2,N/A
Fernanfloo,23000000,559,es,2011-05-01,5591930861,Games,SLV,1,M